2200m;0.1357;0.1378
630m;0.472;0.479
160m;1.800;2.000
80m;3.500;3.800
75m;3.800;4.000
60m;5.259;5.407
40m;7.000;7.300
30m;10.100;10.150
20m;14.000;14.350
17m;18.068;18.168
15m;21.000;21.450
12m;24.890;24.990
CB27;26.960;28.000
10m;28.000;29.700
8m;39.900;40.700
6m;50.000;54.000
5m;59.500;60.100
4m;70;70.5
2m;144.000;148.000
1.25m;219.000;225.000
70cm;420.000;450.000
PMR446;446.000;446.100
33cm;902.000;928.000
23cm;1240.000;1325.000
13cm;2300.000;2450.000
9cm;3300.000;3500.000
5cm;5650.000;5925.000
3cm;10000.000;10500.000
12mm;24000.000;24250.000
